date,vendor,category,amount,notes
2026-01-04,Tri-County Feed Supply,feed,4820.00,
2026-01-06,Sysco,packaging,1120.50,cartons + shrink wrap
2026-01-08,Waste Management Inc,utilities,340.00,dumpster svc
2026-01-08,City Water & Power,utilities,1890.25,
2026-01-11,Tri-County Feed Supply,feed,4655.00,
2026-01-14,PetesTruckRepair,maintenance,2200.00,delivery van #2 transmission
2026-01-15,ADP Payroll,payroll,18400.00,biweekly
2026-01-16,Sysco,packaging,980.00,
2026-01-18,Quill Office Supply,supplies,145.75,
2026-01-19,Facebook Ads,marketing,600.00,
2026-01-20,Tri-County Feed Supply,feed,4790.00,
2026-01-22,Rossi Equipment Rental,equipment,1500.00,forklift rental - 1 wk
2026-01-25,ADP Payroll,payroll,18150.00,biweekly
2026-01-26,State Farm Insurance,insurance,2340.00,commercial auto+liability
2026-01-28,Tri-County Feed Supply,feed,4910.00,
2026-02-02,Sysco,packaging,1340.00,
2026-02-03,Tri-County Feed Supply,feed,4700.00,
2026-02-05,Regional Propane Co,utilities,980.00,
2026-02-08,ADP Payroll,payroll,18600.00,biweekly
2026-02-09,Rossi Equipment Rental,equipment,1500.00,forklift rental - 1 wk
2026-02-10,Tri-County Feed Supply,feed,4830.00,
2026-02-12,Unknown Vendor - see check #4471,other,975.00,ask Linda what this was for
2026-02-14,Sysco,packaging,1050.00,
2026-02-17,Tri-County Feed Supply,feed,4610.00,
2026-02-19,PetesTruckRepair,maintenance,890.00,brake pads van #1
2026-02-22,ADP Payroll,payroll,18300.00,biweekly
2026-02-23,Rossi Equipment Rental,equipment,1500.00,forklift rental - 1 wk
2026-02-24,Tri-County Feed Supply,feed,4880.00,
2026-02-28,State Farm Insurance,insurance,2340.00,
2026-03-01,Chamber of Commerce,dues,450.00,annual membership
2026-03-03,Tri-County Feed Supply,feed,4790.00,
2026-03-05,Sysco,packaging,1290.00,
2026-03-08,ADP Payroll,payroll,18750.00,biweekly
2026-03-09,Rossi Equipment Rental,equipment,1500.00,forklift rental - 1 wk (again??)
2026-03-11,Tri-County Feed Supply,feed,4915.00,
2026-03-14,PetesTruckRepair,maintenance,3400.00,van #2 AC compressor
2026-03-16,Sysco,packaging,1105.00,
